"Team","Starting_QB"
"Arizona Cardinals","Kyler Murray"
"Atlanta Falcons","Kirk Cousins"
"Baltimore Ravens","Lamar Jackson"
"Buffalo Bills","Josh Allen"
"Carolina Panthers","Bryce Young"
"Chicago Bears","Caleb Williams"
"Cincinnati Bengals","Joe Burrow"
"Cleveland Browns","Deshaun Watson"
"Dallas Cowboys","Dak Prescott"
"Denver Broncos","Bo Nix"
"Detroit Lions","Jared Goff"
"Green Bay Packers","Jordan Love"
"Houston Texans","C.J. Stroud"
"Indianapolis Colts","Anthony Richardson"
"Jacksonville Jaguars","Trevor Lawrence"
"Kansas City Chiefs","Patrick Mahomes"
"Las Vegas Raiders","Gardner Minshew"
"Los Angeles Chargers","Justin Herbert"
"Los Angeles Rams","Matthew Stafford"
"Miami Dolphins","Tua Tagovailoa"
"Minnesota Vikings","Sam Darnold"
"New England Patriots","Jacoby Brissett"
"New Orleans Saints","Derek Carr"
"New York Giants","Daniel Jones"
"New York Jets","Aaron Rodgers"
"Philadelphia Eagles","Jalen Hurts"
"Pittsburgh Steelers","Russell Wilson"
"San Francisco 49ers","Brock Purdy"
"Seattle Seahawks","Geno Smith"
"Tampa Bay Buccaneers","Baker Mayfield"
"Tennessee Titans","Will Levis"
"Washington Commanders","Jayden Daniels"
