,,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Michigan,Big Ten,,1,24,1,90.6,68.3,22.28,,12.53,,21.62,13.19,34.81,129.14,83.40,45.74
2,Duke,ACC,,3,24,2,83.0,63.2,19.81,,10.79,,13.00,17.60,30.60,128.18,86.08,42.10
3,Arizona,Big 12,,4,23,2,88.2,68.6,19.64,,10.10,,17.55,12.19,29.74,125.51,86.32,39.19
4,Florida,SEC,,12,19,6,86.5,71.4,15.04,,12.32,,14.86,12.51,27.36,124.23,88.19,36.04
5,Iowa State,Big 12,,6,23,3,83.7,64.6,19.04,,8.27,,13.47,13.84,27.31,126.67,89.87,36.80
6,Illinois,Big Ten,,10,21,5,84.2,68.2,16.00,,11.17,,14.94,12.24,27.17,132.45,94.01,38.44
7,Gonzaga,WCC,,11,25,2,87.6,67.2,20.41,,5.83,,14.56,11.67,26.24,123.83,88.95,34.87
8,Louisville,ACC,,21,19,6,86.9,70.9,15.96,,9.99,,17.03,8.92,25.95,127.03,92.80,34.22
9,Purdue,Big Ten,,7,21,4,82.6,68.6,14.04,,11.89,,12.92,13.01,25.93,130.04,93.90,36.14
10,Houston,Big 12,,2,23,3,77.8,61.6,16.23,,9.65,,6.95,18.93,25.88,123.71,87.03,36.68
11,Vanderbilt,SEC,,19,21,4,88.4,73.6,14.80,,9.16,,16.11,7.86,23.96,125.66,94.40,31.26
12,Connecticut,Big East,,5,24,2,79.3,65.2,14.12,,9.78,,8.48,15.42,23.90,122.91,90.24,32.67
13,Michigan State,Big Ten,,15,20,5,78.8,66.7,12.12,,11.34,,8.44,15.03,23.46,121.51,88.97,32.54
14,Arkansas,SEC,,20,19,6,88.8,76.5,12.28,,11.15,,18.07,5.36,23.43,127.84,97.14,30.70
15,Kansas,Big 12,,8,19,6,77.1,68.0,9.12,,14.14,,9.51,13.75,23.26,120.49,88.61,31.88
16,Texas Tech,Big 12,,13,19,6,82.0,72.4,9.64,,13.55,,12.41,10.78,23.19,125.31,93.99,31.33
17,Alabama,SEC,,25,18,7,91.8,82.7,9.08,,13.95,,22.07,0.96,23.03,127.27,97.56,29.71
18,Nebraska,Big Ten,,9,22,3,79.4,66.0,13.40,,9.56,,8.83,14.13,22.96,121.30,89.50,31.80
19,Brigham Young,Big 12,,23,19,6,86.5,74.5,11.96,,10.44,,17.07,5.33,22.40,125.76,96.28,29.48
20,St. John's (NY),Big East,,17,20,5,84.3,72.1,12.24,,9.92,,13.09,9.07,22.16,120.82,91.82,29.00
21,Tennessee,SEC,,,18,7,81.0,69.3,11.76,,10.29,,8.89,13.17,22.05,121.41,91.83,29.58
22,Saint Louis,A-10,,18,24,1,90.8,67.3,23.44,,0.24,,15.57,5.72,21.28,122.84,95.43,27.41
23,Kentucky,SEC,,,17,8,81.6,72.2,9.48,,11.21,,11.29,9.40,20.69,123.05,95.62,27.44
