,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,26,12,14,.462,-5.96,-0.53,,4,9,,8,4,,3,9,,1823,1838,,68.8,102.3,.520,.316,.583,48.5,49.2,12.3,12.0,.538,21.4,28.3,.377
2,Air Force,25,3,22,.120,-13.09,4.47,,0,14,,3,12,,0,9,,1536,1975,,67.2,117.5,.371,.388,.590,54.7,54.0,12.2,11.5,.561,13.5,31.3,.267
3,Akron,25,20,5,.800,9.34,-2.18,,11,1,,13,0,,5,3,,2247,1873,,72.5,103.4,.296,.434,.534,47.2,51.8,8.4,9.0,.501,16.6,30.7,.217
4,Alabama,25,18,7,.720,23.03,13.95,,8,4,,9,3,,5,2,,2294,2067,,75.5,109.5,.356,.350,.518,49.5,47.3,8.6,11.3,.483,10.4,32.0,.245
5,Alabama A&M,26,15,11,.577,-12.87,-9.83,,8,5,,11,3,,3,7,,1849,1859,,68.1,105.0,.382,.375,.535,49.9,57.8,9.4,8.7,.494,14.5,28.5,.276
6,Alabama State,26,9,17,.346,-12.47,-6.71,,6,7,,5,2,,3,13,,1926,2014,,72.4,107.0,.412,.417,.564,49.5,54.8,10.9,10.5,.521,17.5,31.5,.306
7,Albany (NY),26,9,17,.346,-14.35,-6.65,,5,6,,5,4,,3,10,,1885,1922,,67.5,109.4,.346,.392,.555,49.1,54.3,9.9,9.0,.519,14.4,30.9,.256
8,Alcorn State,25,6,19,.240,-19.65,-4.13,,5,8,,3,3,,2,16,,1672,2060,,69.3,118.9,.407,.367,.605,55.8,56.2,11.1,10.2,.575,16.0,37.4,.295
9,American,27,14,13,.519,-7.05,-5.33,,7,7,,11,4,,3,9,,2026,1944,,68.3,105.4,.425,.374,.560,51.5,52.3,9.8,9.1,.520,17.3,30.0,.308
10,Appalachian State,28,18,10,.643,-3.00,-5.27,,10,5,,10,3,,7,7,,1993,1800,,64.4,99.4,.300,.422,.487,46.6,53.0,7.9,8.4,.452,12.5,28.2,.210
11,Arizona,25,23,2,.920,29.74,10.10,,10,2,,13,1,,6,1,,2206,1715,,72.8,93.8,.286,.370,.481,41.6,50.1,8.7,8.6,.448,15.3,25.8,.198
12,Arizona State,25,13,12,.520,10.75,11.19,,4,8,,7,5,,2,6,,1968,1979,,71.2,111.2,.354,.402,.570,52.0,54.0,9.7,10.4,.532,16.3,34.2,.269
13,Arkansas,25,19,6,.760,23.43,11.15,,9,3,,14,1,,4,3,,2219,1912,,72.4,105.7,.295,.399,.527,48.8,51.2,7.1,7.0,.497,14.0,31.9,.208
14,Arkansas State,27,16,11,.593,-0.33,-2.81,,7,7,,9,4,,7,7,,2227,2093,,72.2,105.9,.371,.395,.542,44.8,50.2,12.2,9.9,.507,14.2,27.3,.262
15,Arkansas-Pine Bluff,26,11,15,.423,-14.26,-3.96,,8,5,,6,2,,5,13,,2013,2145,,73.1,112.3,.438,.377,.566,51.9,55.4,10.7,9.1,.522,14.4,33.0,.325
16,Army,27,10,17,.370,-15.04,-6.32,,4,10,,6,8,,4,8,,1954,2090,,67.3,112.4,.371,.419,.575,49.4,54.0,10.4,11.1,.540,13.9,27.3,.275
17,Auburn,25,14,11,.560,18.60,13.68,,5,7,,9,3,,2,5,,2099,1976,,69.6,112.5,.349,.406,.568,47.0,51.9,9.3,11.7,.530,14.6,31.7,.266
18,Austin Peay,25,19,6,.760,0.15,-5.98,,13,1,,12,0,,7,6,,2051,1778,,71.1,100.1,.314,.413,.532,49.6,54.4,9.3,9.3,.503,18.0,29.6,.217
19,Ball State,25,8,17,.320,-11.85,-3.81,,3,9,,5,6,,2,10,,1659,1751,,66.2,105.8,.320,.421,.563,53.1,54.2,8.6,11.3,.526,17.4,30.0,.245
