,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,School,G,W,L,W-L%,SRS▼,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Michigan,38,35,3,.921,32.70,14.57,,19,1,,14,1,,11,0,,3333,2644,,1526,931,2424,.384,315,1035,.304,467,629,.742,419,1184,443,241,116,409,737
2,Duke,38,35,3,.921,30.16,12.16,,17,1,,15,0,,10,1,,3102,2418,,1520,875,2225,.393,307,1002,.306,361,507,.712,357,1112,458,246,119,439,689
3,Arizona,38,36,2,.947,30.15,12.46,,16,2,,16,1,,9,1,,3287,2615,,1525,936,2389,.392,278,896,.310,465,650,.715,415,1199,464,233,145,442,757
4,Florida,35,27,8,.771,27.74,12.14,,16,2,,14,1,,8,2,,3050,2504,,1400,870,2139,.407,234,729,.321,530,728,.728,338,1066,388,226,99,385,689
5,Illinois,36,28,8,.778,27.10,11.99,,15,5,,14,3,,8,2,,3017,2473,,1460,923,2268,.407,304,978,.311,323,441,.732,363,1103,477,195,93,282,676
6,Iowa State,37,29,8,.784,26.63,10.28,,12,6,,16,1,,5,5,,3033,2428,,1480,873,2031,.430,277,865,.320,405,570,.711,348,1156,480,244,139,572,632
7,Houston,37,30,7,.811,26.25,11.71,,14,4,,15,1,,6,3,,2844,2306,,1485,766,1934,.396,254,803,.316,520,748,.695,390,1243,410,167,87,495,585
8,Purdue,39,30,9,.769,25.15,14.05,,13,7,,12,5,,8,3,,3184,2751,,1565,1002,2233,.449,334,979,.341,413,570,.725,347,1115,573,205,89,391,652
9,Gonzaga,35,31,4,.886,23.97,5.86,,16,2,,15,0,,8,2,,2950,2316,,1405,803,2021,.397,264,864,.306,446,624,.715,338,1125,424,188,92,493,604
10,Michigan State,35,27,8,.771,23.39,12.93,,15,5,,15,2,,6,4,,2758,2392,,1410,821,1990,.413,303,919,.330,447,601,.744,275,990,470,228,106,351,655
11,Alabama,35,25,10,.714,23.03,14.57,,13,5,,12,3,,7,3,,3192,2896,,1410,1037,2401,.432,287,849,.338,535,769,.696,483,1395,488,224,133,334,675
12,Connecticut,38,33,5,.868,23.03,11.11,,17,3,,15,2,,9,2,,2930,2477,,1530,828,2044,.405,226,735,.307,595,827,.719,376,1172,417,217,128,453,646
13,St. John's (NY),37,30,7,.811,22.62,11.35,,18,2,,15,2,,9,1,,2994,2577,,1485,928,2192,.423,227,725,.313,494,696,.710,403,1282,432,224,148,500,736
14,Louisville,35,24,11,.686,22.47,10.72,,11,7,,15,2,,4,7,,2949,2538,,1400,888,2096,.424,267,827,.323,495,691,.716,358,1169,438,235,126,415,617
15,Vanderbilt,36,27,9,.750,22.22,11.47,,11,7,,13,3,,8,4,,3086,2699,,1450,904,2113,.428,261,800,.326,630,835,.754,407,1254,424,190,90,452,686
16,Tennessee,37,25,12,.676,21.97,12.70,,11,7,,14,3,,5,5,,2917,2574,,1495,871,2127,.409,291,953,.305,541,773,.700,379,1107,407,262,145,407,690
17,Arkansas,37,28,9,.757,21.48,12.32,,13,5,,17,1,,5,5,,3337,2998,,1500,1087,2376,.457,288,906,.318,536,742,.722,415,1273,542,184,103,425,658
18,Nebraska,35,28,7,.800,21.46,10.63,,15,5,,16,2,,7,3,,2694,2315,,1410,818,2021,.405,309,1014,.305,370,508,.728,343,1198,500,179,93,446,535
19,Texas Tech,34,23,11,.676,21.04,13.87,,12,6,,14,2,,5,5,,2729,2485,,1365,900,2050,.439,236,735,.321,449,643,.698,379,1162,388,206,83,343,551
20,Virginia,36,30,6,.833,20.64,9.03,,15,3,,16,1,,8,2,,2896,2478,,1465,846,2127,.398,254,805,.316,532,700,.760,398,1177,431,233,116,376,627
21,Kansas,35,24,11,.686,20.41,14.35,,12,6,,14,2,,5,6,,2629,2417,,1410,858,2221,.386,284,929,.306,417,608,.686,432,1286,406,230,109,333,558
22,Brigham Young,35,23,12,.657,20.36,12.24,,9,9,,12,3,,3,6,,2924,2640,,1405,953,2149,.443,296,838,.353,438,620,.706,381,1202,515,220,106,405,647
23,Iowa,37,24,13,.649,19.30,11.03,,10,10,,14,3,,3,8,,2758,2452,,1485,843,1836,.459,245,735,.333,521,707,.737,312,1068,439,188,99,473,643
24,Kentucky,36,22,14,.611,19.13,12.96,,10,8,,14,4,,4,6,,2898,2676,,1445,915,2150,.426,273,858,.318,573,782,.733,396,1240,507,245,111,390,651
25,Wisconsin,35,24,11,.686,18.98,12.12,,14,6,,15,2,,6,4,,2904,2664,,1420,954,2141,.446,291,870,.334,465,639,.728,348,1222,485,161,130,349,606
26,Ohio State,34,21,13,.618,18.70,11.97,,12,8,,14,3,,5,6,,2697,2468,,1375,857,1956,.438,251,788,.319,503,679,.741,350,1067,457,185,102,357,636
27,North Carolina,33,24,9,.727,18.58,10.49,,12,6,,18,0,,4,6,,2631,2364,,1325,874,2085,.419,268,772,.347,348,497,.700,348,1134,418,189,103,310,601
28,Georgia,33,22,11,.667,18.45,8.88,,10,8,,14,4,,6,4,,2951,2635,,1340,949,2143,.443,271,806,.336,466,648,.719,442,1247,456,231,119,453,623
29,UCLA,36,24,12,.667,17.74,11.71,,13,7,,17,1,,4,6,,2775,2558,,1455,874,2022,.432,290,905,.320,520,696,.747,400,1204,553,174,110,442,640
30,Miami (FL),35,26,9,.743,17.72,7.46,,13,5,,15,3,,8,2,,2853,2494,,1400,889,2001,.444,293,818,.358,421,591,.712,306,1039,491,234,146,441,625
31,Saint Louis,35,29,6,.829,17.68,2.79,,15,3,,19,0,,7,3,,3053,2466,,1400,815,2130,.383,265,891,.297,571,785,.727,379,1148,418,254,125,406,572
32,Utah State,36,29,7,.806,17.67,7.50,,15,5,,14,1,,7,5,,2958,2546,,1445,850,2007,.424,280,814,.344,566,782,.724,406,1198,424,200,118,503,647
33,NC State,34,20,14,.588,17.45,10.53,,10,8,,11,6,,6,4,,2828,2593,,1375,884,1976,.447,315,887,.355,510,730,.699,369,1216,436,177,110,434,576
34,Saint Mary's,33,27,6,.818,17.11,5.58,,16,2,,17,0,,8,2,,2552,2129,,1320,778,1914,.406,218,703,.310,355,493,.720,286,962,413,183,108,340,598
35,Texas,36,21,15,.583,16.80,11.20,,9,9,,12,5,,4,6,,2979,2742,,1450,941,2101,.448,241,694,.347,619,835,.741,331,1099,430,237,130,327,746
36,Indiana,32,18,14,.563,16.51,10.51,,9,11,,14,4,,3,8,,2501,2309,,1295,786,1833,.429,223,674,.331,514,678,.758,320,1036,385,177,90,325,551
