,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,26,12,14,.462,-5.96,-0.53,,4,9,,8,4,,3,9,,1823,1838,,1045,642,1478,.434,156,484,.322,383,548,.699,318,853,355,253,77,377,533
2,Air Force,25,3,22,.120,-13.09,4.47,,0,14,,3,12,,0,9,,1536,1975,,1000,538,1261,.427,170,540,.315,290,448,.647,176,728,309,142,64,381,444
3,Akron,25,20,5,.800,9.34,-2.18,,11,1,,13,0,,5,3,,2247,1873,,1000,815,1616,.504,272,731,.372,345,446,.774,287,942,480,190,80,272,400
4,Alabama,25,18,7,.720,23.03,13.95,,8,4,,9,3,,5,2,,2294,2067,,1000,754,1655,.456,321,897,.358,465,612,.760,304,1032,417,165,141,247,484
5,Alabama A&M,26,15,11,.577,-12.87,-9.83,,8,5,,11,3,,3,7,,1849,1859,,1040,607,1413,.430,164,492,.333,471,633,.744,247,904,291,157,80,305,477
6,Alabama State,26,9,17,.346,-12.47,-6.71,,6,7,,5,2,,3,13,,1926,2014,,1040,665,1587,.419,197,600,.328,399,566,.705,337,945,326,225,93,358,494
7,Albany (NY),26,9,17,.346,-14.35,-6.65,,5,6,,5,4,,3,10,,1885,1922,,1040,717,1546,.464,188,577,.326,263,400,.658,292,892,366,189,99,315,447
8,Alcorn State,25,6,19,.240,-19.65,-4.13,,5,8,,3,3,,2,16,,1672,2060,,997,612,1430,.428,173,491,.352,275,394,.698,237,725,291,192,85,350,448
9,American,27,14,13,.519,-7.05,-5.33,,7,7,,11,4,,3,9,,2026,1944,,1080,718,1590,.452,244,730,.334,346,459,.754,260,868,372,212,44,304,514
10,Appalachian State,28,18,10,.643,-3.00,-5.27,,10,5,,10,3,,7,7,,1993,1800,,1125,704,1602,.439,225,734,.307,360,575,.626,338,1107,347,137,107,274,432
11,Arizona,25,23,2,.920,29.74,10.10,,10,2,,13,1,,6,1,,2206,1715,,1005,789,1554,.508,145,411,.353,483,661,.731,332,1096,444,209,112,284,408
12,Arizona State,25,13,12,.520,10.75,11.19,,4,8,,7,5,,2,6,,1968,1979,,1000,662,1475,.449,194,569,.341,450,600,.750,267,833,350,180,114,285,434
