,,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Michigan,Big Ten,,2,24,1,90.6,68.3,22.28,,12.50,,21.60,13.18,34.78,129.06,83.37,45.69
2,Duke,ACC,,4,23,2,82.2,63.1,19.12,,10.70,,12.25,17.57,29.82,126.74,85.88,40.86
3,Arizona,Big 12,,1,23,2,88.2,68.6,19.64,,10.08,,17.55,12.18,29.72,125.45,86.29,39.16
4,Florida,SEC,,14,19,6,86.5,71.4,15.04,,12.30,,14.84,12.50,27.34,124.20,88.21,35.99
5,Iowa State,Big 12,,5,22,3,84.2,64.5,19.68,,7.57,,13.44,13.81,27.25,125.99,89.41,36.59
6,Illinois,Big Ten,,8,21,5,84.2,68.2,16.00,,11.14,,14.91,12.23,27.14,132.39,94.01,38.38
7,Gonzaga,WCC,,12,25,2,87.6,67.2,20.41,,5.79,,14.53,11.67,26.20,123.75,88.94,34.81
8,Houston,Big 12,,3,23,2,78.3,61.3,17.00,,8.89,,6.97,18.92,25.89,123.20,86.44,36.76
9,Purdue,Big Ten,,13,21,4,82.6,68.6,14.04,,11.85,,12.90,12.99,25.89,129.97,93.92,36.05
10,Louisville,ACC,,24,19,6,86.9,70.9,15.96,,9.87,,16.97,8.86,25.83,126.92,92.87,34.05
11,Vanderbilt,SEC,,19,21,4,88.4,73.6,14.80,,9.12,,16.07,7.85,23.92,125.59,94.40,31.19
12,Connecticut,Big East,,6,24,2,79.3,65.2,14.12,,9.72,,8.43,15.40,23.84,122.80,90.23,32.57
13,Michigan State,Big Ten,,10,20,5,78.8,66.7,12.12,,11.32,,8.42,15.02,23.44,121.47,88.98,32.49
14,Arkansas,SEC,,21,19,6,88.8,76.5,12.28,,11.05,,18.03,5.30,23.33,127.77,97.22,30.55
15,Kansas,Big 12,,9,19,6,77.1,68.0,9.12,,14.10,,9.53,13.69,23.22,120.51,88.72,31.79
16,Texas Tech,Big 12,,16,19,6,82.0,72.4,9.64,,13.46,,12.36,10.74,23.10,125.24,94.06,31.18
17,Alabama,SEC,,,18,7,91.8,82.7,9.08,,13.90,,22.04,0.95,22.98,127.19,97.55,29.64
18,Nebraska,Big Ten,,7,22,3,79.4,66.0,13.40,,9.52,,8.81,14.11,22.92,121.25,89.52,31.73
19,Brigham Young,Big 12,,22,19,6,86.5,74.5,11.96,,10.41,,17.03,5.34,22.37,125.66,96.24,29.43
20,St. John's (NY),Big East,,17,20,5,84.3,72.1,12.24,,9.88,,13.07,9.06,22.12,120.76,91.82,28.93
21,Tennessee,SEC,,,18,7,81.0,69.3,11.76,,10.28,,8.85,13.19,22.04,121.37,91.82,29.55
22,Saint Louis,A-10,,18,24,1,90.8,67.3,23.44,,0.24,,15.58,5.70,21.28,122.81,95.42,27.40
23,Kentucky,SEC,,25,17,8,81.6,72.2,9.48,,11.17,,11.27,9.38,20.65,122.96,95.60,27.36
24,Virginia,ACC,,15,22,3,81.4,67.4,14.00,,6.43,,9.41,11.03,20.43,122.41,93.82,28.59
25,North Carolina,ACC,,11,20,5,81.8,70.4,11.36,,8.80,,11.25,8.91,20.16,121.71,95.20,26.52
26,NC State,ACC,,,18,8,85.0,74.4,10.58,,9.45,,14.57,5.46,20.03,125.30,98.67,26.63
27,Utah State,MWC,,,22,3,84.7,69.1,15.56,,5.42,,12.21,7.09,19.30,123.58,97.15,26.44
28,Iowa,Big Ten,,,18,7,77.0,64.9,12.08,,7.09,,6.27,12.90,19.17,124.42,97.46,26.97
29,Georgia,SEC,,,17,8,90.3,78.4,11.96,,6.75,,18.15,0.56,18.71,121.19,98.61,22.57
30,Southern Methodist,ACC,,,17,8,86.2,77.6,8.64,,9.95,,14.58,4.01,18.59,123.65,100.45,23.20
31,Wisconsin,Big Ten,,,18,7,83.7,75.6,8.08,,10.49,,14.20,4.36,18.57,124.06,99.35,24.72
32,Auburn,SEC,,,14,11,84.0,79.0,4.92,,13.63,,13.79,4.76,18.55,124.93,100.74,24.18
33,Indiana,Big Ten,,,17,9,80.3,71.3,9.00,,9.51,,10.17,8.34,18.51,121.99,97.72,24.27
