
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,25,12,13,.480,-5.97,-0.43,,4,8,,8,4,,3,8,,1761,1773,,68.8,102.3,.369,.328,.529,51.1,55.6,13.9,9.1,.492,17.7,34.7,.261
2,Air Force,25,3,22,.120,-13.19,4.37,,0,14,,3,12,,0,9,,1536,1975,,67.2,91.4,.355,.428,.521,45.3,57.4,8.4,7.4,.494,20.5,21.9,.230
3,Akron,25,20,5,.800,9.31,-2.21,,11,1,,13,0,,5,3,,2247,1873,,72.5,124.0,.276,.452,.615,52.8,58.9,10.5,9.2,.588,13.0,34.2,.213
4,Alabama,25,18,7,.720,22.98,13.90,,8,4,,9,3,,5,2,,2294,2067,,75.5,121.5,.370,.542,.590,50.5,55.3,8.7,12.7,.553,11.3,31.2,.281
5,Alabama A&M,25,14,11,.560,-13.37,-9.64,,7,5,,10,3,,3,7,,1767,1789,,68.3,103.5,.439,.347,.534,50.1,47.9,9.1,8.9,.484,15.1,27.9,.324
6,Alabama State,25,8,17,.320,-13.34,-5.80,,5,7,,4,2,,3,13,,1834,1959,,72.4,101.4,.347,.377,.515,49.7,48.4,12.0,10.7,.480,16.1,33.6,.241
7,Albany (NY),26,9,17,.346,-14.33,-6.63,,5,6,,5,4,,3,10,,1885,1922,,67.5,107.3,.259,.373,.543,50.9,51.0,10.8,11.0,.525,15.4,33.0,.170
8,Alcorn State,24,6,18,.250,-19.52,-3.69,,5,7,,3,2,,2,16,,1594,1974,,69.2,96.0,.270,.348,.514,44.1,47.0,11.1,9.3,.488,18.0,27.5,.186
9,American,27,14,13,.519,-7.02,-5.30,,7,7,,11,4,,3,9,,2026,1944,,68.3,109.9,.289,.459,.560,48.5,51.8,11.5,4.9,.528,14.4,28.2,.218
10,Appalachian State,28,18,10,.643,-3.05,-5.32,,10,5,,10,3,,7,7,,1993,1800,,64.4,110.1,.359,.458,.531,53.4,49.3,7.6,11.4,.510,12.7,33.8,.225
11,Arizona,25,23,2,.920,29.72,10.08,,10,2,,13,1,,6,1,,2206,1715,,72.8,120.6,.425,.264,.590,58.4,56.3,11.4,11.3,.554,13.2,39.2,.311
12,Arizona State,25,13,12,.520,10.72,11.16,,4,8,,7,5,,2,6,,1968,1979,,71.2,110.6,.407,.386,.559,48.0,52.9,10.1,12.8,.515,13.9,30.5,.305
13,Arkansas,25,19,6,.760,23.33,11.05,,9,3,,14,1,,4,3,,2219,1912,,72.4,122.7,.364,.352,.600,51.2,54.3,10.2,13.9,.570,11.0,32.3,.268
14,Arkansas State,27,16,11,.593,-0.37,-2.85,,7,7,,9,4,,7,7,,2227,2093,,72.2,112.7,.366,.453,.562,55.2,56.9,10.8,6.7,.524,16.2,38.1,.271
15,Arkansas-Pine Bluff,25,11,14,.440,-13.90,-3.68,,8,4,,6,2,,5,12,,1943,2063,,73.5,105.3,.359,.375,.556,48.1,58.4,9.5,8.3,.514,16.9,29.2,.272
16,Army,27,10,17,.370,-15.11,-6.39,,4,10,,6,8,,4,8,,1954,2090,,67.3,105.1,.261,.525,.527,50.6,59.3,8.3,4.6,.500,14.7,31.3,.184
17,Auburn,25,14,11,.560,18.55,13.63,,5,7,,9,3,,2,5,,2099,1976,,69.6,119.5,.458,.387,.570,53.0,46.8,10.8,11.9,.524,12.0,38.4,.340
18,Austin Peay,25,19,6,.760,0.08,-6.05,,13,1,,12,0,,7,6,,2051,1778,,71.1,115.5,.366,.400,.580,50.4,57.5,13.9,7.8,.543,13.3,30.1,.275
19,Ball State,25,8,17,.320,-11.87,-3.83,,3,9,,5,6,,2,10,,1659,1751,,66.2,100.2,.336,.394,.509,46.9,52.4,11.7,8.4,.473,14.2,26.8,.235
20,Baylor,25,13,12,.520,16.29,11.38,,3,9,,9,5,,2,5,,2084,1903,,70.6,118.1,.369,.390,.581,53.6,53.9,9.2,11.4,.548,14.0,37.7,.269
